NAME,state,place
"Cedar Park city, Texas",48,13552
"College Station city, Texas",48,15976
"Conroe city, Texas",48,16432
"Corpus Christi city, Texas",48,17000
"Dallas city, Texas",48,19000
"Denton city, Texas",48,19972
"Edinburg city, Texas",48,22660
"El Paso city, Texas",48,24000
"Fort Worth city, Texas",48,27000
"Frisco city, Texas",48,27684
"Garland city, Texas",48,29000
"Grand Prairie city, Texas",48,30464
"Harlingen city, Texas",48,32372
"Houston city, Texas",48,35000
"Irving city, Texas",48,37000
"Killeen city, Texas",48,39148
"Laredo city, Texas",48,41464
"League City city, Texas",48,41980
"Lewisville city, Texas",48,42508
"Longview city, Texas",48,43888
"Lubbock city, Texas",48,45000
"McAllen city, Texas",48,45384
"McKinney city, Texas",48,45744
"Mesquite city, Texas",48,47892
"Midland city, Texas",48,48072
"Mission city, Texas",48,48768
"Missouri City city, Texas",48,48804
"New Braunfels city, Texas",48,50820
"North Richland Hills city, Texas",48,52356
"Odessa city, Texas",48,53388
"Pasadena city, Texas",48,56000
"Pearland city, Texas",48,56348
"Pharr city, Texas",48,57200
"Plano city, Texas",48,58016
"Round Rock city, Texas",48,63500
"San Angelo city, Texas",48,64472
"San Antonio city, Texas",48,65000
"Sugar Land city, Texas",48,70808
"Temple city, Texas",48,72176
"The Woodlands CDP, Texas",48,72656
"Tyler city, Texas",48,74144
"Victoria city, Texas",48,75428
"Waco city, Texas",48,76000
"Wichita Falls city, Texas",48,79000
"Ogden city, Utah",49,55980
"Orem city, Utah",49,57300
"Provo city, Utah",49,62470
"St. George city, Utah",49,65330
"Salt Lake City city, Utah",49,67000
"West Jordan city, Utah",49,82950
"West Valley City city, Utah",49,83470
"Alexandria city, Virginia",51,1000
"Arlington CDP, Virginia",51,3000
"Chesapeake city, Virginia",51,16000
"Hampton city, Virginia",51,35000
"Lynchburg city, Virginia",51,47672
"Newport News city, Virginia",51,56000
"Norfolk city, Virginia",51,57000
"Portsmouth city, Virginia",51,64000
"Richmond city, Virginia",51,67000
"Roanoke city, Virginia",51,68000
"Suffolk city, Virginia",51,76432
"Virginia Beach city, Virginia",51,82000
"Auburn city, Washington",53,3180
"Bellevue city, Washington",53,5210
"Bellingham city, Washington",53,5280
"Everett city, Washington",53,22640
"Federal Way city, Washington",53,23515
"Kennewick city, Washington",53,35275
"Kent city, Washington",53,35415
"Marysville city, Washington",53,43955
"Pasco city, Washington",53,53545
"Redmond city, Washington",53,57535
"Renton city, Washington",53,57745
"Seattle city, Washington",53,63000
"Shoreline city, Washington",53,63960
"Spokane city, Washington",53,67000
"Spokane Valley city, Washington",53,67167
"Tacoma city, Washington",53,70000
"Vancouver city, Washington",53,74060
"Yakima city, Washington",53,80010
"Green Bay city, Wisconsin",55,31000
"Janesville city, Wisconsin",55,37825
"Kenosha city, Wisconsin",55,39225
"Madison city, Wisconsin",55,48000
"Milwaukee city, Wisconsin",55,53000
"Oshkosh city, Wisconsin",55,60500
"Racine city, Wisconsin",55,66000
"Waukesha city, Wisconsin",55,84250
"Cheyenne city, Wyoming",56,13900
"Bayamón zona urbana, Puerto Rico",72,6593
"Caguas zona urbana, Puerto Rico",72,10334
"Carolina zona urbana, Puerto Rico",72,14290
"Guaynabo zona urbana, Puerto Rico",72,32522
"Ponce zona urbana, Puerto Rico",72,63820
"San Juan zona urbana, Puerto Rico",72,76770
