homeownership_rate,median_gross_rent,rent_burden_rate,vacancy_rate,poverty_rate,gini_index,median_household_income,childhood_poverty_rate,labor_force_participation_rate,youth_unemployment_rate,hs_or_higher_rate,bachelors_or_higher_rate
0.7034673333771959,1736,0.2866651874861327,0.02367110968363578,0.1461753503818083,0.4274,87809,0.008077074616784556,0.6029884337405307,0.0,0.7497985894192308,0.14652796426905626
0.693659885443413,1986,0.27014829142488717,0.051961426832693565,0.11048112083487407,0.3858,109010,0.008272046235808099,0.6885804594656637,0.0,0.8111404229554988,0.2118021018033992
0.7402628530339951,2441,0.21454936942479236,0.021651619963262595,0.05536030373771838,0.3658,117970,0.0020522818809163438,0.6897225917082005,0.0,0.9104202369421056,0.3191826242455853
0.6139306898590529,1726,0.350212429601818,0.044049811293233904,0.1603820167132312,0.4483,74991,0.01499440600526273,0.5371544869367664,0.01913531294974594,0.8274636571579803,0.20404922588328703
0.7309298822240482,2747,0.26148364931925183,0.029183008708369342,0.06372994798297625,0.4181,151705,0.0,0.6612320282771029,0.0,0.9475287078339693,0.5239605166514394
0.5616567843946034,1664,0.349637326014507,0.06848108865319191,0.14064668228412838,0.4383,82342,0.006714513794595562,0.611123116515726,0.0,0.8446521336907276,0.25053964940579265
0.40985335049062677,1831,0.276583482220045,0.06459053598320148,0.14692621839932055,0.4663,81606,0.0035802056415909214,0.6623430590547477,0.0031842986848491304,0.8269020426606005,0.3675199825493526
0.35071604823283914,1875,0.2990929927652487,0.06727857266506163,0.16156861592398217,0.5205,79701,0.005653505349679874,0.6729036142873538,0.005753184999102818,0.802373186079363,0.392290080537159
0.5445475056405114,1371,0.4433069132540731,0.03828535609238633,0.21217168862845415,0.4632,55622,0.008908652845117344,0.5639270730622741,0.0,0.6561935974161679,0.10791298565593237
0.7568452770863356,1934,0.2840786637931034,0.0249728555917481,0.10927291188416034,0.4174,91533,0.002439078227088116,0.6534995765241659,0.0,0.8642716767549721,0.2407200691769515
0.7815691854260888,2349,0.3601256252180993,0.03006555276258071,0.13507438250573023,0.4258,82402,0.004265599971680664,0.6114570503170476,0.0,0.9094225243075147,0.23843014787891512
0.48146651482311453,1359,0.34927382217499114,0.06579037682751046,0.224131085619856,0.4677,53931,0.00933566546125699,0.6379050867863951,0.027614254257852872,0.7659986335686632,0.20488878767175284
0.5617276731766265,3001,0.11900738237125322,0.05419754451941157,0.05547630157989467,0.4089,179727,0.0008266115592293847,0.6505304341283575,0.0,0.8950308065557747,0.6076484038189657
0.7854801751892566,2852,0.3545159545700379,0.050586550641625816,0.04805408570197629,0.4325,122135,0.0,0.6079903914684687,0.0,0.930007717060528,0.5109567699005518
0.5941209501547462,1645,0.2977381680126122,0.04247630479905969,0.11988522317972586,0.4409,80471,0.004269363952846938,0.6146746163527959,0.0044798215762050335,0.825845192641444,0.21618188129121832
0.6226063168366078,2081,0.3723699694045658,0.03480556889102256,0.10724125383375786,0.3736,91021,0.0051368811050674125,0.656708021743517,0.012206703910614526,0.7954626126228184,0.16272817213071422
0.7504000867984919,2503,0.22951532275592262,0.017770554697074652,0.043829389676422505,0.3873,108703,0.00046713020356096947,0.65766123993138,0.012023217247097845,0.9318955581755799,0.3671890524196219
0.584992541669369,2285,0.24535083606813565,0.04089820545516748,0.08010973936899862,0.4488,103601,0.0,0.674117305547492,0.0,0.874621409921671,0.3912793733681462
0.6662488809310654,1981,0.2526824034334764,0.012203749557835162,0.12378383387041975,0.3826,103071,0.0013075394578344263,0.6913333248378423,0.0,0.7842717030554688,0.19346341027816225
0.41201775687584474,1938,0.26939572607245305,0.08069094398707005,0.14341253798724277,0.5285,96828,0.001581934493110259,0.6981447923353838,0.005998316126003438,0.8440115728946794,0.4717137346240629
0.5793068793869636,2293,0.2205964689634579,0.08327575286462832,0.08289702800814568,0.4276,99108,0.002172180739603931,0.6636769418053088,0.005028356981720815,0.877759646765214,0.34383598899340884
0.5941080794605165,1937,0.26866276452048626,0.030303567314678623,0.12022053953816945,0.3951,84566,0.003300366462095457,0.6725292722017315,0.01082284869865651,0.7763037095240064,0.2245233861296059
0.5400781384166238,2218,0.3311085180863477,0.021919879062736205,0.140897212543554,0.4408,117707,0.006225219271897152,0.6731428571428572,0.003674129881154499,0.8698106217447207,0.3982500490334953
0.48068200154185414,1962,0.3125733618725402,0.05786868908670169,0.14005341534477178,0.4163,87975,0.009772580123017158,0.6598912260009173,0.007715528369709849,0.6924701081799203,0.19624217118997914
0.6806458421274799,1839,0.4733989822219285,0.050405852289808595,0.16375122085597657,0.444,78743,0.008107735844331472,0.6413924537252881,0.016884309324627627,0.7581766495436637,0.1582165478031021
0.40808417360806665,2284,0.25413284351484267,0.08824187771808646,0.142417079679756,0.4757,103282,0.00844834159359512,0.6572392480497286,0.00510616512179349,0.9161857488861646,0.5680610790499258
0.706059303824667,1931,0.35071474983755685,0.020622895622895623,0.1196386851738484,0.379,77365,0.007796004547669319,0.6350034116385612,0.0,0.6903545030644865,0.15904787114902974
0.5458186478692727,2202,0.39753086419753086,0.023352239389790728,0.14185523355829033,0.4558,92506,0.004062458647611486,0.6865852020948032,0.0,0.8163573801141675,0.24625574318276747
0.5338759141306912,1816,0.3203097322739005,0.04101531570255412,0.16119180842325487,0.4047,78317,0.003650685556624239,0.6487478793710277,0.0018604530138037808,0.7527047463936715,0.22141112145183806
0.5578918245953797,1678,0.446886733416771,0.017698814417230018,0.14908181718877062,0.4828,76948,0.0037625468801204013,0.6680761771532128,0.0,0.8787342451059266,0.33226065969428803
