NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5
"Stockton city, California",6,75000,0,1,0.9999999854465874,8.794857439584602e-13,9.215090282844503e-15,1.4552524520933677e-08,0.0,3.3061532368275084e-43
"Sunnyvale city, California",6,77000,2,0,3.900963459332325e-19,1.9007631818541494e-75,0.9999810199756091,2.4199028904849426e-164,1.8980024390876134e-05,0.0
"Temecula city, California",6,78120,4,0,0.00028430100298852716,1.8646155918572028e-30,0.002099514738808338,9.949991283772988e-43,0.9976161842582028,0.0
"Thousand Oaks city, California",6,78582,2,0,0.0001271702626920898,1.707010548438975e-22,0.9998728297373078,4.791335026422761e-71,0.0,0.0
"Torrance city, California",6,80000,2,0,0.060358308208561744,1.6008958466551582e-05,0.9396256828329723,1.3350971954211568e-27,0.0,2.8519235271577667e-120
"Tracy city, California",6,80238,0,4,0.9999998142143992,6.6026973324944065e-24,1.857856014438529e-07,3.421475440505981e-40,0.0,0.0
"Tulare city, California",6,80644,4,1,5.0291354946643046e-08,2.0872131102841823e-36,2.738629141358996e-30,8.08472941754036e-18,0.9999999497086453,1.2830362963376278e-81
"Turlock city, California",6,80812,4,4,0.00012681351144803698,8.272015211145805e-27,1.0650825584589026e-10,3.6865770283000195e-09,0.9998731826954664,2.7935788580726775e-133
"Tustin city, California",6,80854,4,0,0.0022603644247996004,8.335840417845245e-24,0.00010186322582795713,1.7278414847949217e-39,0.9976377723493721,4.394392022917385e-171
"Union City city, California",6,81204,4,0,0.0010870515173161354,1.134408793103575e-25,0.0014045024573640173,1.3401478849691035e-45,0.9975084460253199,8.047159985085761e-162
"Upland city, California",6,81344,4,0,0.0002147538359443571,1.6762587710468958e-16,0.0014124182421914634,4.885181389721623e-21,0.9983728279218639,1.0029900557526177e-167
"Vacaville city, California",6,81554,2,4,0.0038078644432661428,5.893768221765228e-38,0.9961921355567331,1.109944552986129e-41,0.0,1.1107e-320
"Vallejo city, California",6,81666,4,4,0.0019795950142036884,2.927658503454508e-09,2.75545099240597e-06,3.2538610129053e-17,0.9980176371393146,9.467830717240823e-09
"Victorville city, California",6,82590,0,1,0.9999999885711423,1.1428744508462222e-08,2.8412908235836644e-14,4.62602422604607e-16,0.0,8.385280370014367e-14
"Visalia city, California",6,82954,0,4,0.9994816562149953,0.00036314902110515127,0.00015388701600034944,1.3077478990165612e-06,0.0,2.849569430542518e-116
"Vista city, California",6,82996,4,4,0.00041912607299937155,2.1375806817378158e-15,1.8882298069797134e-06,2.594202071699638e-28,0.9995789856971914,2.1125693659103865e-73
"West Covina city, California",6,84200,0,4,0.9962933434034331,1.4886513254062056e-11,0.0037066565816801784,2.4071096432995962e-24,0.0,6.758543278837396e-83
"Westminster city, California",6,84550,4,1,0.007261949766816047,1.0727711315352443e-30,1.189605367303403e-17,7.622566351418913e-22,0.9927380502331842,6.816245959153626e-23
"Whittier city, California",6,85292,4,4,3.042600664826024e-05,7.495089340389678e-26,0.003232001811018074,8.458512704330884e-26,0.9967375721823334,1.0834325226753736e-185
"Yuba City city, California",6,86972,4,3,1.5257637181500557e-05,2.4120693895214063e-21,7.600349779317901e-07,1.1970108776643198e-08,0.9999839703577316,4.5022942659526275e-160
"Arvada city, Colorado",8,3455,2,0,0.0014518477988548007,1.1018557292006552e-05,0.9985371336438537,6.621420268101706e-29,0.0,0.0
"Aurora city, Colorado",8,4000,0,4,0.9999825393254365,1.7458359621791037e-05,1.6858976085306717e-09,6.290448491935002e-10,0.0,3.57000829281747e-138
"Centennial city, Colorado",8,12815,2,0,0.0017199082969261356,1.07469074858029e-08,0.998280080956167,7.536372537217969e-47,0.0,0.0
"Colorado Springs city, Colorado",8,16000,2,4,0.01089820298582239,0.18421137690324066,0.8037159474689196,0.001174472642017546,0.0,6.494440584798586e-143
"Denver city, Colorado",8,20000,1,2,0.0029714691921311114,0.9961583389506858,0.0008695410569312832,6.508002525509629e-07,0.0,8.141726158502495e-103
"Grand Junction city, Colorado",8,31660,4,4,3.4069486668603606e-07,5.322600117327553e-06,4.069477973502756e-08,1.7765444719079233e-06,0.9999925194657643,6.426253490183744e-30
"Greeley city, Colorado",8,32155,0,3,0.9974221594504328,4.633990997670821e-05,3.3578914651519377e-06,0.002528142748125484,0.0,9.823699934226492e-63
"Lakewood city, Colorado",8,43000,1,0,0.018479895823292115,0.9779108896226953,0.003595865150349102,1.3349403662920507e-05,0.0,8.577005032182418e-110
"Longmont city, Colorado",8,45970,4,0,5.108470211435847e-06,4.341837660035777e-07,1.4655683806284723e-05,1.2054710099061009e-08,0.9999797896075059,7.516925046617503e-213
"Pueblo city, Colorado",8,62000,3,3,3.903863456543736e-05,0.001030329349025474,1.623980586953941e-11,0.9989306320001697,0.0,3.004637631491142e-20
"Thornton city, Colorado",8,77290,4,4,0.00023311554117525207,8.620536684537582e-13,0.00020380397827258223,2.80706288251683e-20,0.9995630804796906,5.225787715374094e-108
"Westminster city, Colorado",8,83835,4,0,0.0004947937956741233,2.843876679292796e-14,0.0028326592088642887,1.3104424301468253e-19,0.9966725469954332,2.5642054427567e-310
"Bridgeport city, Connecticut",9,8000,5,1,0.00340789722518255,1.8216164604800805e-05,1.6830817077382175e-10,1.4556777144251947e-08,0.0,0.9965738718851266
"Danbury city, Connecticut",9,18430,4,4,0.0026111315658794744,5.3512755217246285e-08,4.5043480153673625e-05,3.1488903322505583e-10,0.9973437711263227,8.600990297685024e-75
"Hartford city, Connecticut",9,37000,5,5,7.832154783823112e-17,2.6029140742507042e-11,1.4435164063401315e-19,3.4127076889061645e-10,0.0,0.9999999996326991
"New Britain city, Connecticut",9,50370,4,3,7.895014355268815e-12,6.626223749909233e-24,3.557993660523196e-12,2.862874638864153e-06,0.9999971371139083,5.4737300492113715e-149
"New Haven city, Connecticut",9,52000,5,5,6.5277444279455e-13,1.3130049251694211e-17,4.001592508173491e-40,2.2508825194279715e-11,0.0,0.9999999999768381
"Norwalk city, Connecticut",9,55990,4,0,0.0002640373321669925,8.582408346017385e-14,9.78426933677365e-05,6.192863230225973e-24,0.9996381199743796,1.6375735707828691e-124
"Stamford city, Connecticut",9,73000,2,2,0.001455169348038561,2.9582684928787127e-05,0.9985152479670324,8.703997208470046e-36,0.0,2.8927187755962017e-48
