NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5,GMM_p_k6,GMM_p_k7
"Fullerton city, California",6,28000,2,0,0.0,1.1899385399149415e-07,0.9994174233508031,0.0,0.0005824576553315119,4.295693739437459e-75,1.1416907142950902e-14,2.0811003126943411e-19
"Garden Grove city, California",6,29000,2,1,0.0,1.2074205826246919e-20,0.9999999999999991,0.0,4.819204152898568e-16,1.705833080678057e-132,1.8662727585127237e-17,3.2657087976115895e-22
"Glendale city, California",6,30000,2,5,0.0,4.826021715086843e-05,0.9999471314904433,0.0,3.929039239746015e-06,4.077968055473837e-84,6.792531666830418e-07,2.3508751036026597e-16
"Hawthorne city, California",6,32548,3,1,0.0,5.955409525753109e-26,1.5947972757161963e-08,0.9999999839210415,3.091150892025012e-11,6.20067507425924e-34,1.0007400574935997e-10,3.2241112520714847e-19
"Hayward city, California",6,33000,2,0,0.0,7.450589181646149e-06,0.9999784259356786,0.0,1.4123475139750568e-05,2.077624436151592e-225,3.892095155991421e-47,5.944906981764138e-27
"Hemet city, California",6,33182,3,1,0.0,1.3326507781020755e-14,2.160379835544011e-05,0.9999779789153973,5.097615359718786e-12,4.1728113562646046e-07,1.0903836937334553e-17,5.62465720702694e-16
"Hesperia city, California",6,33434,2,1,0.0,2.7152725602422427e-21,0.999999999998261,0.0,1.6653543538583408e-12,4.148546941738087e-79,3.561137105590114e-39,7.375309620986898e-14
"Huntington Beach city, California",6,36000,1,6,0.0,0.7375576733302279,0.26242933282047526,0.0,1.299384929644552e-05,1.3623196092938728e-186,1.0003897570832136e-55,9.284325563911424e-37
"Indio city, California",6,36448,7,4,0.0,5.012591506781162e-25,2.3441098930322108e-11,0.0,8.094118590762161e-11,1.431865491460558e-48,1.2669179557224016e-67,0.9999999998956177
"Inglewood city, California",6,36546,3,1,0.0,5.801569855610968e-18,0.0028742862452169125,0.9970755205575024,1.4974013137349767e-08,3.77484447816239e-25,5.0178223257415355e-05,1.0002114444886384e-14
"Irvine city, California",6,36770,1,6,0.0,0.999999652063659,3.47935492358146e-07,0.0,8.482494796505587e-13,5e-322,9.92839383074261e-75,1.6750438439836359e-91
"Jurupa Valley city, California",6,37692,2,1,0.0,6.13243370065339e-27,0.9999999999999698,0.0,2.9642007115740895e-14,1.78054296871364e-136,3.5493846540176824e-39,5.233919491696629e-24
"Lake Elsinore city, California",6,39486,3,0,0.0,1.3789179302128794e-07,0.00275907630559384,0.9972407852462997,5.563135994234952e-10,4.377772914985028e-99,2.1684094534530598e-51,4.1925341888386785e-32
"Lakewood city, California",6,39892,3,3,0.0,0.00019309140717221264,0.0016181609431839027,0.9981887476495526,9.168767861618101e-14,1.2578876930236413e-151,4.3513511803552794e-101,8.528943179327725e-34
"Lancaster city, California",6,40130,2,1,0.0,1.4627295425470604e-18,0.9999999999999982,0.0,1.3445867280981173e-15,2.300833920915791e-38,1.3339827879069821e-24,1.1240976441977999e-26
"Lodi city, California",6,42202,3,0,0.0,1.686969486669936e-13,6.984083456841668e-05,0.9999301590800231,3.6013118832869955e-13,1.2563495307785906e-117,6.131051259367997e-46,8.487926050815555e-11
"Long Beach city, California",6,43000,2,5,0.0,2.196817352893291e-08,0.9937168859497256,0.0,0.0062830920767389005,4.643013564694706e-140,4.525894215829756e-12,8.361117420749546e-13
"Los Angeles city, California",6,44000,6,5,0.0,1.2625934949168475e-07,0.33740018400256744,0.0,0.003467843786255891,2.9388795766668376e-143,0.6591318459508083,1.0188831249299263e-12
"Madera city, California",6,45022,3,1,0.0,1.644076367220852e-72,4.570533828999507e-09,0.999999995429409,2.3892825161783444e-52,1.708848359096853e-213,5.859629210488576e-14,1.2693736639142542e-18
"Manteca city, California",6,45484,3,0,0.0,6.414929615493171e-08,0.00028019155495113404,0.9997197442957523,6.944433535970948e-16,3.704052237868933e-222,1.8322419212892712e-90,2.7889098777230587e-33
"Menifee city, California",6,46842,3,0,0.0,1.0039063426183765e-07,0.005110098663321982,0.9948898008388295,1.0721498905207089e-10,3.242117300703766e-29,3.266298156452449e-55,8.123454041392457e-43
"Merced city, California",6,46898,6,7,0.0,1.2640089371982503e-73,8.385111979155681e-07,0.0,6.387319632279757e-27,6.613297799165746e-75,0.9999991614887997,3.077406943305203e-15
"Milpitas city, California",6,47766,1,6,0.0,0.9999731198510546,4.8559601284585086e-18,2.68801489461037e-05,7.059688182214225e-38,0.0,2.1160127208135718e-213,2.6883585481058795e-170
"Modesto city, California",6,48354,2,1,0.0,1.2201249555538355e-15,0.9999998427906166,0.0,1.5720937047128043e-07,9.792859886004969e-83,2.4396024153267353e-22,1.1477164166325774e-14
"Moreno Valley city, California",6,49270,2,1,0.0,2.356250007067616e-10,0.9999999995432773,0.0,2.210978998953918e-10,1.9468665231316245e-86,5.31148254636863e-43,1.270721384193714e-25
"Murrieta city, California",6,50076,2,0,0.0,5.023011580535914e-11,0.9999999999495408,0.0,2.29826314648495e-13,1.67773248536562e-233,8.761372651963481e-122,3.50595388216361e-44
"Napa city, California",6,50258,3,0,0.0,2.067129652796928e-08,4.716623167853414e-06,0.9999952601300417,2.575493758639621e-09,6.37869129315905e-183,4.4619689919330267e-66,1.486913904890374e-42
"Norwalk city, California",6,52526,2,0,0.0,3.286460373694477e-09,0.9999999965798221,0.0,1.3371681628330944e-10,2.4439285438469652e-127,6.464456326835385e-68,9.152175916323035e-25
"Oakland city, California",6,53000,4,5,0.0,0.016226097608609803,0.2634252758812937,0.0,0.7203486265100179,7.082415081269297e-157,7.89025932494316e-14,3.562416888833787e-16
"Oceanside city, California",6,53322,2,0,0.0,0.035808539756045366,0.9641763502764059,0.0,1.5109967548897686e-05,1.9800352311144466e-81,3.320412473565088e-45,9.02459328231636e-24
"Ontario city, California",6,53896,2,0,0.0,3.7187645381035323e-10,0.999999999502247,0.0,1.2587672259895038e-10,4.1566313670632065e-85,9.207195358714394e-40,2.5221460465775115e-25
"Orange city, California",6,53980,2,0,0.0,4.8114585552283926e-08,0.9998541559950654,0.0,0.00014579589034950148,4.364678043674026e-149,6.380744971222308e-36,6.53074374582743e-35
"Oxnard city, California",6,54652,2,1,0.0,9.346696005388912e-19,0.9999999999999982,0.0,1.175912825143564e-15,1.4335744197881913e-285,2.3291633510779317e-36,5.909334387110181e-24
"Palmdale city, California",6,55156,2,1,0.0,1.7937054161619477e-15,0.999999999976442,0.0,1.1799073083983737e-14,2.2812406946942386e-21,2.354383056664295e-11,1.2003718130377705e-29
"Pasadena city, California",6,56000,1,5,0.0,0.9995631399877855,5.294117119766802e-06,0.0,0.00043156589509453253,9.179989310576359e-199,2.5543300549785295e-27,6.295270438962894e-26
"Perris city, California",6,56700,3,1,0.0,4.2605530271526043e-23,0.0010134666861121202,0.998986533313888,2.5097648576340685e-20,9.317513200880698e-77,3.703398925759055e-50,6.260909244802284e-18
"Pittsburg city, California",6,57456,3,1,0.0,6.032100879423897e-21,0.00018541158870591124,0.9998145884045061,6.78783924756505e-12,1.5145819839432494e-21,1.5423828305486147e-19,8.201878173153211e-41
"Pleasanton city, California",6,57792,1,6,0.0,0.9707374805109639,5.812990501387462e-11,0.02926251943090657,1.1123913835204446e-16,0.0,1.13088245507607e-140,5.586948760128186e-145
"Pomona city, California",6,58072,2,1,0.0,1.2654392552440985e-31,1.0,0.0,9.542552595119333e-18,1.6191808077322624e-180,1.2805417717700266e-20,3.661494958326894e-18
"Rancho Cordova city, California",6,59444,2,4,0.0,1.2513686860813109e-29,0.9684644859862844,0.0,0.03147107101303538,1.621000742915866e-33,6.444300062333226e-05,5.826457482526356e-14
"Rancho Cucamonga city, California",6,59451,2,0,0.0,6.252177209682085e-05,0.9998350702692074,0.0,0.00010240795869644226,8.298684685281876e-115,6.132879839781373e-33,1.045589566089705e-36
"Redding city, California",6,59920,3,4,0.0,4.7737235935113086e-18,3.1282800336718824e-07,0.9999852391284266,2.516602219947719e-07,2.2353470768517125e-09,1.234307949623321e-14,1.4194147988242573e-05
"Redlands city, California",6,59962,3,0,0.0,2.1055461233147762e-05,0.00013429585318885397,0.9998446482578404,4.27737799526497e-10,5.182284925316357e-197,5.6720439618366335e-42,4.319707613731743e-30
"Redondo Beach city, California",6,60018,3,6,0.0,0.006702828255546605,5.700542991078614e-07,0.9932966016715067,1.8648068622925755e-11,0.0,2.123979926775279e-91,3.7901894601163753e-81
"Redwood City city, California",6,60102,1,6,0.0,0.9999751971135346,1.9976646347821103e-16,2.4802886464693104e-05,6.097481626842322e-26,0.0,9.207146520022193e-173,9.799944887732342e-160
"Rialto city, California",6,60466,2,1,0.0,6.0324341692104846e-18,1.0,0.0,6.64097149349479e-16,5.1352920691555356e-117,3.1113270458723347e-26,9.002264396401637e-29
"Richmond city, California",6,60620,2,0,0.0,1.646684547132528e-12,0.9999998015938348,0.0,1.984045182429353e-07,1.9504781042972494e-256,4.6758583788001795e-35,1.4027221276150117e-24
"Riverside city, California",6,62000,2,0,0.0,3.6959399076516197e-14,0.9999992805113956,0.0,7.194885673307335e-07,1.9933945179218845e-106,4.4667617818995255e-33,2.8267898462266624e-19
"Rocklin city, California",6,62364,3,0,0.0,1.9508223694687937e-08,0.00020613538004797107,0.999793842600036,2.511692139497356e-09,3.7657519044318236e-142,2.513408704249995e-49,1.0125097188474327e-48
"Roseville city, California",6,62938,2,0,0.0,0.002229184998607983,0.9974425989748924,0.0,0.00032821602649934297,1.447070451910324e-90,2.933710435231021e-54,1.1375599099788841e-32
"Sacramento city, California",6,64000,2,0,0.0,2.5467023198632824e-07,0.9911621568532344,0.0,0.008837587801152841,3.5382928210908505e-106,2.1067983096171122e-23,6.753809491305581e-10
"Salinas city, California",6,64224,2,1,0.0,1.2596707486011032e-72,0.9999999999905818,0.0,1.2344145922930635e-39,3.2270370257044483e-246,9.419943758287102e-12,6.340388202645074e-21
"San Bernardino city, California",6,65000,2,1,0.0,1.783795884379077e-33,0.999997629495215,0.0,3.7043377167749293e-09,6.048067029544629e-79,2.3668000252677415e-06,4.213950064915908e-13
"San Buenaventura (Ventura) city, California",6,65042,2,0,0.0,0.002000800925461923,0.9979851263887425,0.0,1.4072685794892993e-05,8.603523368637635e-100,1.2235238303229891e-39,9.299055199688432e-19
"San Diego city, California",6,66000,1,6,0.0,0.807735980839215,0.1760970422366383,0.0,0.016166976924146585,2.15216431883037e-174,2.9147082224914097e-38,7.326280181995813e-28
"San Francisco city, California",6,67000,1,6,0.0,0.9999999999999218,1.583948917354196e-14,0.0,6.198025784959137e-14,0.0,2.837937491346623e-68,9.242176874178243e-80
"San Jose city, California",6,68000,1,6,0.0,0.9999988767129867,1.1232866446659677e-06,0.0,3.694241755602062e-13,0.0,1.5063071572284624e-100,3.733383489806075e-81
"San Leandro city, California",6,68084,3,0,0.0,2.496910286325411e-20,6.078887152293023e-05,0.9999392111236187,4.858777023581071e-12,1.5400478929275925e-88,2.6184914267938994e-19,2.4137687364292452e-21
"San Marcos city, California",6,68196,3,0,0.0,4.002499461428896e-08,2.0630588053745763e-06,0.999997896915012,1.188779957672337e-12,1.871363821803546e-37,1.052160288106002e-17,1.4053157653260589e-50
"San Mateo city, California",6,68252,1,6,0.0,0.9960326944107303,1.0633914365759837e-12,0.003967305588206371,2.68252882173497e-25,0.0,4.193832335849904e-113,3.963532027033899e-124
"Santa Ana city, California",6,69000,2,1,0.0,9.564778112004711e-36,1.0,0.0,6.253544847372072e-23,1.3754673004153876e-308,1.5819728398048907e-37,1.7177551837957475e-24
"Santa Barbara city, California",6,69070,3,5,0.0,2.315223656364895e-18,7.580725009559134e-08,0.9999969413421553,2.982850552743492e-06,6.152337125789255e-113,4.1610490540274494e-14,2.4827206011953684e-31
"Santa Clara city, California",6,69084,1,6,0.0,1.0,3.608651700829739e-19,0.0,4.515971069751874e-31,0.0,4.260665552093907e-177,1.0342807766736563e-172
"Santa Clarita city, California",6,69088,1,0,0.0,0.9710008562379701,0.02899914363671629,0.0,1.2531427268967537e-10,8.358638464926053e-200,8.977849399460476e-81,6.42467398798796e-50
